id,Group,Name,rows,cols,entries
1,Williams,cant,62451,62451,4007383
2,Boeing,pwtk,217918,217918,11634424
3,Um,offshore,259789,259789,4242673
4,vanHeukelum,cage12,130228,130228,2032536
5,Hamm,scircuit,170998,170998,958936
6,SNAP,wiki-Vote,8297,8297,103689
7,Pajek,patents_main,240547,240547,560943
8,FEMLAB,poisson3Da,13514,13514,352762
9,Williams,pdb1HYS,36417,36417,4344765
10,Bova,rma10,46835,46835,2374001
11,DNVS,shipsec1,140874,140874,7813404
12,Williams,consph,83334,83334,6010480
13,QCD,conf5_4-8x8-05,49152,49152,1916928
14,Oberwolfach,filter3D,106437,106437,2707179
15,Williams,mac_econ_fwd500,206500,206500,1273389
16,DIMACS10,asia_osm,11950757,11950757,25423206
17,Schenk_AFE,af_shell10,1508065,1508065,52672325
18,GHS_psdef,hood,220542,220542,10768436
