id,Group,Name,rows,cols,entries
1,Meszaros,pf2177,9728,10178,30984
2,GHS_indef,bloweybq,10001,10001,69991
3,VDOL,hangGlider_3,10260,10260,92703
4,GHS_indef,bloweybl,30003,30003,120000
5,Schenk_IBMNA,c-43,11125,11125,123675
6,QY,case9,14454,14454,147972
7,TSOPF,TSOPF_FS_b9_c6,14454,14454,147972
8,VDOL,hangGlider_4,15561,15561,149532
9,GHS_indef,bloweya,30004,30004,150009
10,VDOL,hangGlider_5,16011,16011,155246
11,VDOL,lowThrust_4,13562,13562,160947
12,Schenk_IBMNA,c-45,13206,13206,174452
13,GHS_indef,brainpc2,27607,27607,179395
14,Sandia,mult_dcop_03,25187,25187,193216
15,Sandia,mult_dcop_01,25187,25187,193276
16,Sandia,mult_dcop_02,25187,25187,193276
17,DIMACS10,vsp_befref_fxm_2_4_air02,14109,14109,196448
18,VDOL,lowThrust_5,16262,16262,198369
19,VDOL,lowThrust_6,16928,16928,207349
20,VDOL,lowThrust_7,17378,17378,211561
21,VDOL,lowThrust_8,17702,17702,216445
22,VDOL,lowThrust_9,18044,18044,219589
23,VDOL,lowThrust_10,18260,18260,222005
24,VDOL,lowThrust_11,18368,18368,223801
25,VDOL,lowThrust_12,18458,18458,224593
26,VDOL,lowThrust_13,18476,18476,224897
27,GHS_indef,a5esindl,60008,60008,255004
28,Pajek,Reuters911,13332,13332,296076
29,Bomhof,circuit_4,80209,80209,307604
30,GHS_indef,a2nnsnsl,80016,80016,347222
31,GHS_indef,a0nsdsil,80016,80016,355034
32,SNAP,email-Enron,36692,36692,367662
33,Schenk_IBMNA,c-53,30235,30235,372213
34,DIMACS10,vsp_south31_slptsk,39668,39668,379828
35,DIMACS10,vsp_model1_crew1_cr42_south31,45101,45101,379952
36,Schenk_IBMNA,c-57,37833,37833,405197
37,Rajat,rajat18,94294,94294,485143
38,Schenk_IBMNA,c-66,49989,49989,499007
39,Schenk_IBMNA,c-66b,49989,49989,499007
40,VanVelzen,std1_Jac3_db,21982,21982,531826
41,Schenk_IBMNA,c-67,57975,57975,531935
42,Schenk_IBMNA,c-67b,57975,57975,531935
43,GHS_indef,c-58,37595,37595,552557
44,Schenk_IBMNA,c-62,41731,41731,559343
45,GHS_indef,c-62ghs,41731,41731,559343
46,Rajat,rajat20,86916,86916,605045
47,Rajat,rajat25,87190,87190,607235
48,Rajat,rajat28,87190,87190,607235
49,Rajat,rajat16,94294,94294,641159
50,Rajat,rajat17,94294,94294,641159
51,VanVelzen,Zd_Jac6_db,22835,22835,663643
52,VanVelzen,Zd_Jac2_db,22835,22835,676439
53,Nemeth,nemeth18,9506,9506,695234
54,VanVelzen,Zd_Jac3_db,22835,22835,713907
55,Schenk_IBMNA,c-64,51035,51035,717841
56,Schenk_IBMNA,c-64b,51035,51035,717841
57,Nemeth,nemeth01,9506,9506,725054
58,Andrianov,pf2177,9728,9728,725144
59,TSOPF,TSOPF_FS_b39_c7,28216,28216,730080
60,Lourakis,bundle1,10581,10581,770901
61,Chen,pkustk02,10800,10800,810000
62,Nemeth,nemeth19,9506,9506,818302
63,IPSO,TSC_OPF_300,9774,9774,820804
64,MKS,fp,7548,7548,848553
65,GHS_indef,c-71,76638,76638,859554
66,FEMLAB,sme3Da,12504,12504,874887
67,PARSEC,Si10H16,17077,17077,875923
68,IPSO,HTC_336_9129,226340,226340,883422
69,IPSO,HTC_336_4438,226340,226340,904522
70,SNAP,soc-Slashdot0811,77360,77360,905468
71,Andrianov,net50,16320,16320,945200
72,SNAP,soc-Slashdot0902,82168,82168,948464
73,DNVS,crplat2,18010,18010,960946
74,Boeing,crystk02,13965,13965,968583
75,Boeing,pcrystk02,13965,13965,968583
76,Nemeth,nemeth20,9506,9506,971870
77,Hohn,sinc18,16428,16428,973826
78,Chen,pkustk01,22044,22044,979380
79,Simon,olafu,16146,16146,1015156
80,Oberwolfach,gyro_k,17361,17361,1021159
81,Oberwolfach,gyro,17361,17361,1021159
82,QY,case39,40216,40216,1042160
83,FIDAP,ex11,16614,16614,1096948
84,Boeing,bcsstk36,23052,23052,1143140
85,Boeing,msc23052,23052,23052,1154814
86,Nemeth,nemeth21,9506,9506,1173746
87,Boeing,msc10848,10848,10848,1229778
88,VanVelzen,std1_Jac2,21982,21982,1248731
89,Schenk_IBMNA,c-73,169422,169422,1279274
90,Schenk_IBMNA,c-73b,169422,169422,1279274
91,PARSEC,SiO,33401,33401,1317655
92,Simon,raefsky4,19779,19779,1328611
93,Li,li,22695,22695,1350309
94,Li,pli,22695,22695,1350309
95,Nemeth,nemeth22,9506,9506,1358832
96,Boeing,bcsstk35,30237,30237,1450163
97,VanVelzen,std1_Jac3,21982,21982,1455848
98,Oberwolfach,windscreen,22692,22692,1482390
99,Simon,raefsky3,21200,21200,1488768
100,Andrianov,net75,23120,23120,1489200
101,SNAP,web-NotreDame,325729,325729,1497134
102,Nemeth,nemeth24,9506,9506,1506550
