Matrix Name,Matrix Kind
bcsstk30,structural problem
pre2,frequency-domain circuit simulation problem
bcsstk35,structural problem
bcsstk36,structural problem
crystk02,materials problem
crystk03,materials problem
ct20stif,structural problem
msc10848,structural problem
msc23052,structural problem
pcrystk02,duplicate materials problem
pcrystk03,duplicate materials problem
pct20stif,structural problem
pwtk,structural problem
circuit_4,circuit simulation problem
rma10,computational fluid dynamics problem
ex11,computational fluid dynamics problem
gupta1,optimization problem
gupta2,optimization problem
gupta3,optimization problem
li,electromagnetics problem
pli,duplicate electromagnetics problem
nasasrb,structural problem
nemeth01,theoretical/quantum chemistry problem sequence
nemeth18,subsequent theoretical/quantum chemistry problem
nemeth19,subsequent theoretical/quantum chemistry problem
nemeth20,subsequent theoretical/quantum chemistry problem
nemeth21,subsequent theoretical/quantum chemistry problem
nemeth22,subsequent theoretical/quantum chemistry problem
nemeth23,subsequent theoretical/quantum chemistry problem
nemeth24,subsequent theoretical/quantum chemistry problem
nemeth25,subsequent theoretical/quantum chemistry problem
nemeth26,subsequent theoretical/quantum chemistry problem
xenon2,materials problem
3dtube,computational fluid dynamics problem
cfd2,computational fluid dynamics problem
gearbox,structural problem
appu,directed weighted random graph
bbmat,computational fluid dynamics problem
olafu,structural problem
raefsky3,computational fluid dynamics problem
raefsky4,structural problem
av41092,2D/3D problem
bcsstk39,structural problem
pkustk01,structural problem
pkustk02,structural problem
pkustk03,structural problem
pkustk04,structural problem
pkustk05,structural problem
pkustk06,structural problem
pkustk07,structural problem
pkustk08,structural problem
pkustk09,structural problem
pkustk10,structural problem
pkustk11,structural problem
pkustk12,structural problem
pkustk13,structural problem
pkustk14,structural problem
kim2,2D/3D problem
torso1,2D/3D problem
torso3,2D/3D problem
cage13,directed weighted graph
cage14,directed weighted graph
cage15,directed weighted graph
sinc18,materials problem
ns3Da,computational fluid dynamics problem
poisson3Db,computational fluid dynamics problem
sme3Da,structural problem
sme3Db,structural problem
sme3Dc,structural problem
nd3k,2D/3D problem
nd6k,2D/3D problem
nd12k,2D/3D problem
nd24k,2D/3D problem
af_shell1,structural problem sequence
af_shell2,subsequent structural problem
af_shell3,subsequent structural problem
af_shell4,subsequent structural problem
af_shell5,subsequent structural problem
af_shell6,subsequent structural problem
af_shell7,subsequent structural problem
af_shell8,subsequent structural problem
af_shell9,subsequent structural problem
c-62,optimization problem sequence
c-64,optimization problem sequence
c-66,optimization problem sequence
c-67,optimization problem sequence
c-73,optimization problem sequence
ohne2,semiconductor device problem
para-10,subsequent semiconductor device problem
para-4,semiconductor device problem
para-5,semiconductor device problem sequence
para-6,subsequent semiconductor device problem
para-7,subsequent semiconductor device problem
para-8,subsequent semiconductor device problem
para-9,subsequent semiconductor device problem
Stanford_Berkeley,directed graph
mult_dcop_01,circuit simulation problem sequence
mult_dcop_02,subsequent circuit simulation problem
mult_dcop_03,subsequent circuit simulation problem
gyro_k,duplicate model reduction problem
